comment_id,employee_id,comments
C001,MY001,Direction for 2025 is clear, but we need to push faster on automation at IPC.
C002,MY002,App baru looks modern, but backend integration ada sikit glitch. Team tengah fix.
C003,MY003,Recruitment for riders kena laju sikit, turnover tinggi sangat kat KL.
C004,MY004,Vendor repair van selalu lambat. Operation terganggu sebab transport tak cukup.
C005,MY005,Selangor hub makin efficient lepas tukar layout. Good job team.
C006,MY006,System down time dah kurang, but network kat rural area masih slow gila.
C007,MY007,Penang branch performance on track. Cuma aircond office panas, customer complain.
C008,MY008,Staff HQ semangat nak join corporate run. Good for bonding.
C009,MY009,Claim process untuk medical lambat sangat approve. Kesian staff tunggu duit.
C010,MY010,Digital team need new laptops. Yang lama ni buka Excel pun hang.
C011,MY011,Johor PPL sesak teruk time Shopee sale. Tak cukup tangan nak sort.
C012,MY012,IT helpdesk very helpful. Cepat setel masalah printer.
C013,MY013,Procurement for uniform saiz besar selalu habis stock. Abang-abang besar susah hati.
C014,MY014,Sabah team steady! Walaupun jalan off-road, parcel sampai jugak.
C015,MY015,Promosi Merdeka sambutan hangat. Sales naik mendadak.
C016,MY016,Benefit panel klinik tu bagus, banyak pilihan dekat rumah.
C017,MY017,Sarawak pedalaman cost hantar tinggi, allowance kena review balik bos.
C018,MY018,Customer support system selalu lag bila check tracking number. Kena refresh banyak kali.
C019,MY019,Claim OT bulan lepas masuk on-time. Masyuk sikit bulan ni.
C020,MY020,Branch Kelantan bumbung bocor. Bila hujan, baldi sana sini. Malu kat customer.
C021,MY021,Kerusi kaunter dah goyang. Bahaya kalau patah time duduk.
C022,MY022,Overtime budget untuk Penang kena tambah. Parcel makin banyak ni.
C023,MY023,KL jem gila babi. Susah nak kejar KPI delivery time macam ni.
C024,MY024,Wifi office tingkat 4 macam siput. Nak send email pun pusing-pusing.
C025,MY025,Motor ex5 ni dah tua bos. Semput nak naik bukit bawak barang berat.
C026,MY026,Musim hujan ni raincoat company bagi nipis sangat. Basah lencun seluar.
C027,MY027,JB route parcel Shopee/Lazada berlambak. Sorang rider bawak 100+ parcel, patah pinggang weh.
C028,MY028,Management turun padang tu bagus, baru nampak realiti operation.
C029,MY029,Mesin air pantry selalu rosak. Nak minum kopi pun susah.
C030,MY030,Van tayar botak. Bahaya bawak laju kat highway time hujan.
C031,MY031,Kedah line clear. Customer sini baik-baik, siap bagi air.
C032,MY032,Melaka branch bersih. Customer puji toilet kita wangi.
C033,MY033,Handheld scanner bateri kong cepat gila. Half day dah kena charge, macam mana nak kerja?
C034,MY034,Sort center KLIA tak cukup staff night shift. Barang bertimbun pending.
C035,MY035,Penat weh kerja non-stop dari 7 pagi sampai 8 malam. Family pun tak jumpa.
C036,MY036,Pahang area Felda jalan teruk. Suspension van jahanam cepat.
C037,MY037,Team Terengganu memang brotherhood kuat. Kerja berat sama dipikul.
C038,MY038,Customer maki hamun sebab barang pecah. Padahal seller balut cincai. Kita yang kena.
C039,MY039,Bonus tahun ni harap lebat sikit. Barang dapur semua naik harga.
C040,MY040,System admin senang guna. Tak pening kepala.
C041,MY041,Best intern kat sini. Staff senior semua sporting ajar kerja.
C042,MY042,Mentor kat digital team power. Banyak belajar pasal cloud system.
C043,MY043,Bot laju kat Sarawak tu enjin selalu mati. Bahaya hanyut tengah sungai.
C044,MY044,Gaji cleaner review la sikit. Kesian makcik tu kerja keras.
C045,MY045,Warehouse PPL Shah Alam habuk tebal. Hidung tersumbat hari-hari. Mask mana?
